ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
HALLMARK_E2F_TARGETS,HALLMARK_E2F_TARGETS,200,0.4438818900702171,1.8428489770514431,3.3223569447607615e-7,1.6611784723803808e-5,1.3289427779043046e-5,12278,"tags=52%, list=32%, signal=35%",CDKN2A/DEPDC1/RRM2/CENPE/TOP2A/CDC20/KIF4A/TCF19/CCNB2/AURKA/BUB1B/HMMR/BRCA1/DLGAP5/MSH2/GINS4/BARD1/CDCA8/CENPM/BIRC5/CDC25B/E2F8/PTTG1/DEK/MCM6/BRCA2/SMC4/SMC6/MCM2/KIF2C/TFRC/SPAG5/CKS1B/MCM3/CDKN3/USP1/RAD51AP1/KIF18B/MELK/TACC3/ATAD2/KPNA2/MCM4/H2AZ1/CCNE1/LMNB1/NBN/RACGAP1/MKI67/PLK4/XPO1/RAD50/CDC25A/CHEK1/STAG1/LBR/PRDX4/MAD2L1/POLD3/RFC1/POLE4/PLK1/TIPIN/TMPO/EZH2/XRCC6/HELLS/MRE11/MMS22L/ASF1B/ORC6/NUP205/SPC25/ZW10/PRPS1/PRKDC/PDS5B/MCM5/UNG/CHEK2/RNASEH2A/ORC2/RANBP1/POLD1/MTHFD2/CNOT9/SMC1A/MXD3/NASP/NCAPD2/SLBP/TUBG1/RFC2/CIT/UBE2T/HNRNPD/RBBP7/GINS1/PNN/RAD1/PHF5A/STMN1/CBX5
HALLMARK_G2M_CHECKPOINT,HALLMARK_G2M_CHECKPOINT,200,0.43516533278743463,1.8066607498871292,1.0286233562809803e-6,2.5715583907024508e-5,2.0572467125619607e-5,11010,"tags=42%, list=29%, signal=30%",TTK/CENPE/TOP2A/CENPF/CDC20/KNL1/KIF4A/CCNB2/AURKA/NEK2/ATF5/HMMR/KIF20B/HOXC10/PBK/CDC6/KIF23/SMC2/CCNA2/STIL/BUB1/BARD1/BIRC5/TPX2/CDC25B/PTTG1/MCM6/NDC80/BRCA2/SMC4/MCM2/KIF2C/DBF4/CKS1B/MCM3/CDKN3/KIF11/TACC3/KPNA2/H2AZ1/NUP50/CDC7/LMNB1/SLC38A1/UBE2C/RACGAP1/MKI67/PLK4/XPO1/RAD54L/CDC25A/CHEK1/KIF15/STAG1/LBR/PRC1/POLQ/MAD2L1/CUL3/RAD23B/PLK1/ATRX/SQLE/TMPO/EZH2/TROAP/EXO1/ORC6/SMARCC1/G3BP1/E2F2/PDS5B/E2F1/WRN/MCM5/RBL1/FANCC/NOTCH2/CASP8AP2/CENPA/HIF1A/EWSR1/NUSAP1/SMC1A
HALLMARK_HYPOXIA,HALLMARK_HYPOXIA,199,-0.4177661969445788,-1.6773060591550755,1.8976383617646397e-5,3.162730602941066e-4,2.530184482352853e-4,8805,"tags=35%, list=23%, signal=27%",WSB1/SRPX/ATF3/AMPD3/PDGFB/CDKN1B/PLAC8/NDRG1/NEDD4L/GPC3/DTNA/EGFR/PLAUR/NOCT/FOXO3/PPARGC1A/EXT1/PFKP/TPI1/SDC3/GYS1/PLIN2/NCAN/B4GALNT2/ADORA2B/HOXB9/PPFIA4/MAP3K1/GCNT2/PRKCA/TGFBI/PDK1/ERRFI1/IRS2/IGFBP3/MT1E/MXI1/AKAP12/ADM/IER3/GAPDHS/SULT2B1/HAS1/TNFAIP3/DPYSL4/GAPDH/LDHA/ACKR3/CA12/STC1/CCN2/KDELR3/CAV1/LXN/CITED2/AK4/ANGPTL4/TES/SDC2/PKP1/PHKG1/PPP1R3C/VEGFA/CDKN1A/IGFBP1/S100A4/SERPINE1/BRS3/LALBA
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,200,-0.38605159465719213,-1.5496497407906333,4.223636247390597e-4,0.005279545309238246,0.004223636247390597,9020,"tags=38%, list=24%, signal=29%",CXCL12/WIPF1/PDLIM4/COL1A1/PVR/COL5A2/COL4A2/PMP22/COL6A2/PLAUR/TNFRSF12A/GREM1/EDIL3/SERPINE2/CRLF1/MEST/TIMP1/FSTL1/ADAM12/TPM4/TFPI2/VEGFC/P3H1/IL32/RGS4/EFEMP2/CALU/VIM/FZD8/GJA1/PDGFRB/LAMA2/TNFRSF11B/ITGA5/TGFBI/NTM/ITGB3/IGFBP3/PCOLCE2/NID2/COL6A3/FAS/COL7A1/MGP/HTRA1/FERMT2/TNFAIP3/LRP1/SPP1/COL5A3/GADD45B/CCN2/SFRP4/FSTL3/LAMC2/PTX3/CXCL1/SFRP1/NT5E/ANPEP/QSOX1/SCG2/DKK1/BDNF/VEGFA/MMP1/OXTR/CDH6/INHBA/CXCL8/COL3A1/SERPINE1/MFAP5/AREG/POSTN
HALLMARK_P53_PATHWAY,HALLMARK_P53_PATHWAY,200,-0.3597554441831881,-1.4440943608108743,0.002551125854357492,0.021259382119645766,0.017007505695716612,9781,"tags=35%, list=26%, signal=26%",TXNIP/RAD51C/ACVR1B/TSPYL2/ZBTB16/RPL18/CCNG1/ATF3/RB1/CD81/DCXR/NDRG1/HRAS/RPL36/PRMT2/POLH/SOCS1/FOXO3/HBEGF/LIF/CDH13/PERP/RPS12/PTPRE/TRAF4/CCND2/CLCA2/DRAM1/VAMP8/UPP1/GLS2/CYFIP2/CGRRF1/ABAT/PITPNC1/TRIAP1/BAX/IER5/SESN1/ALOX15B/DGKA/PIDD1/IER3/FAS/PLK3/SFN/FDXR/IL1A/RPS27L/H2AJ/F2R/TM4SF1/ADA/TSC22D1/TCHH/PHLDA3/AEN/ZMAT3/TNFSF9/RGS16/MDM2/ST14/EPHA2/TGFA/PDGFA/DDB2/CDKN1A/GPX2/S100A4/EPS8L2
HALLMARK_MYOGENESIS,HALLMARK_MYOGENESIS,199,-0.3543462266808624,-1.4226787073665392,0.0024493121687918016,0.021259382119645766,0.017007505695716612,10149,"tags=38%, list=27%, signal=28%",TPD52L1/ITGA7/KLF5/MYL6B/PTP4A3/SGCA/ADCY9/ACTN2/SYNGR2/PTGIS/COL1A1/MYL4/RB1/COL4A2/FKBP1B/COL6A2/DTNA/VIPR1/SCD/HBEGF/DMD/MYH3/CFD/CDH13/SMTN/HSPB2/ADAM12/ACHE/MYLPF/FOXO4/ERBB3/PPFIA4/EPHB3/DMPK/WWTR1/LAMA2/TNNC2/CASQ1/FHL1/SOD3/GABARAPL2/MYL3/SSPN/IGFBP3/MYOZ1/COL6A3/AGRN/CHRNG/CTF1/SVIL/TNNI2/IGFBP7/MYOM1/GADD45B/CD36/HRC/ANKRD2/TNNT2/SPDEF/MYBPC3/CKMT2/SCHIP1/COX6A2/COX7A1/MYOG/CACNG1/LDB3/PPP1R3C/CDKN1A/FST/DES/CACNA1H/APOD/FXYD1/COL3A1/MB
HALLMARK_KRAS_SIGNALING_DN,HALLMARK_KRAS_SIGNALING_DN,196,-0.3514313332685306,-1.4073561452140468,0.0045395956077795485,0.032425682912711064,0.025940546330168852,7681,"tags=33%, list=20%, signal=27%",LFNG/GPRC5C/MFSD6/YBX2/EFHD1/HTR1D/DLK2/STAG3/TAS2R4/SNN/GP1BA/BRDT/GAMT/NPY4R/CLDN16/PAX4/ITGB1BP2/SGK1/TEX15/NTF3/SLC30A3/TENM2/GDNF/ARHGDIG/FGFR3/CDH16/GP2/TGFB2/NGB/KCNQ2/PTPRJ/CHRNG/TGM1/TCL1A/VPREB1/GPR19/ATP6V1B1/OXT/RGS11/SCGB1A1/LGALS7/CCR8/CNTFR/SMPX/CD40LG/KLHDC8A/PKP1/FGF16/SERPINB2/CACNG1/ADRA2C/EDAR/MYOT/KCNE2/ALOX12B/EDN1/ITIH3/HTR1B/HNF1A/CALML5/COL2A1/TFAP2B/TLX1/WNT16/TFCP2L1
HALLMARK_TNFA_SIGNALING_VIA_NFKB,HALLMARK_TNFA_SIGNALING_VIA_NFKB,200,-0.3411807374956573,-1.3695336290279783,0.006172519223783935,0.0385782451486496,0.03086259611891968,8383,"tags=28%, list=22%, signal=22%",RCAN1/MAP3K8/NFKB2/IFNGR2/PLAUR/SOD2/TRIB1/TNFAIP2/HBEGF/LIF/DUSP2/SNN/PTPRE/LITAF/DRAM1/SGK1/PTGS2/PTGER4/IER5/OLR1/BIRC3/IRS2/PLPP3/JAG1/MAP2K3/IER3/PDE4B/IL1A/PLAU/BCL2A1/TNFAIP3/FOSL1/TSC22D1/ACKR3/GADD45B/DUSP4/DUSP5/FJX1/G0S2/TNFSF9/PTX3/CXCL1/CD69/CCND1/GPR183/IL7R/PHLDA2/SERPINB2/CSF2/VEGFA/CDKN1A/EDN1/INHBA/TNFAIP6/SERPINE1/CCL20/AREG
HALLMARK_ANGIOGENESIS,HALLMARK_ANGIOGENESIS,36,-0.5432931761690581,-1.6725769272962476,0.00722723704919944,0.040151316939996885,0.03212105355199751,9350,"tags=47%, list=24%, signal=36%",TNFRSF21/VTN/COL5A2/TIMP1/FSTL1/CCND2/SERPINA5/KCNJ8/OLR1/JAG1/SPP1/STC1/PDGFA/VEGFA/S100A4/COL3A1/POSTN
HALLMARK_INFLAMMATORY_RESPONSE,HALLMARK_INFLAMMATORY_RESPONSE,199,-0.33174633979170176,-1.3319415259175642,0.008845867080146659,0.044229335400733295,0.035383468320586635,8422,"tags=31%, list=22%, signal=24%",CD40/GPC3/IFNGR2/PLAUR/LAMP3/GPR132/SLC31A2/NLRP3/HBEGF/LIF/TIMP1/IL18R1/CMKLR1/PTPRE/AHR/GP1BA/ADORA2B/SLC7A2/GABBR1/PTGER4/FFAR2/ITGA5/MARCO/BDKRB1/OLR1/ITGB3/CD48/ADM/KCNMB2/AQP9/PDE4B/IL1A/CD70/P2RY2/LCK/PTGER2/LTA/BEST1/NOD2/PCDH7/KCNA3/NDP/TNFSF9/CCL24/RGS16/SELE/EREG/CD69/GPR183/IL7R/CLEC5A/NMUR1/SLC1A2/CDKN1A/CSF3/EDN1/OPRK1/INHBA/CXCL8/TNFAIP6/SERPINE1/CCL20
